         17817 function calls (17496 primitive calls) in 506.042 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/TiffImagePlugin.py:433(ImageFileDirectory_v2)
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/PpmImagePlugin.py:1(<module>)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
    33/10    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/abc.py:121(__subclasscheck__)
       15    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/enum.py:579(_get_mixins_)
       66    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
    33/10    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        2    0.000    0.000    0.000    0.000 {built-in method clear}
       16    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/posixpath.py:41(_get_sep)
       16    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/sre_compile.py:292(_optimize_charset)
       60    0.000    0.000    0.000    0.000 {built-in method addItem}
        5    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/JpegImagePlugin.py:193(SOF)
        2    0.000    0.000    0.000    0.000 {built-in method setRowCount}
       16    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/_binary.py:60(i32le)
       10    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/abc.py:117(__instancecheck__)
       71    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       23    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/Image.py:831(load)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      199    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        7    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/sre_parse.py:97(closegroup)
       63    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/enum.py:44(_is_private)
       11    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/PngImagePlugin.py:517(chunk_pHYs)
       10    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      518    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       43    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
       60    0.000    0.000    0.000    0.000 {built-in method setCheckState}
       80    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/logging/__init__.py:1724(isEnabledFor)
        1    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/numbers.py:294(Integral)
       16    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/Image.py:511(__init__)
       69    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/signal.py:9(<lambda>)
       32    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/_util.py:5(is_path)
      226    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       10    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/JpegImagePlugin.py:263(<listcomp>)
        2    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/logging/__init__.py:2071(getLogger)
      188    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       88    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        5    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/abc.py:110(register)
       16    0.000    0.000    0.000    0.000 {built-in method width}
       15    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/enum.py:590(_find_data_type)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
        6    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/enum.py:626(_find_new_)
        5    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
        2    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/logging/__init__.py:1315(getLogger)
       16    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/JpegImagePlugin.py:56(Skip)
       72    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/PngImagePlugin.py:498(<genexpr>)
       11    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/PngImagePlugin.py:358(__init__)
       63    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/enum.py:22(_is_dunder)
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/GimpGradientFile.py:1(<module>)
